,link,name,second
277,MW-TRADE,M.W. TRADE SPÓŁKA AKCYJNA,MWT (MWTRADE)
278,MXC,MAXCOM SPÓŁKA AKCYJNA,MXC (MAXCOM)
279,MUZA,MUZA SPÓŁKA AKCYJNA,MZA (MUZA)
280,MZN,MZN PROPERTY SPÓŁKA AKCYJNA,MZN (MORIZON)
281,NCT,NORTH COAST SPÓŁKA AKCYJNA,NCT (NORTCOAST)
282,NETMEDIA,NETMEDIA SPÓŁKA AKCYJNA,NEM (NETMEDIA)
283,NETIA,NETIA SPÓŁKA AKCYJNA,NET (NETIA)
284,NEUCA,NEUCA SPÓŁKA AKCYJNA,NEU (NEUCA)
285,NNG,NANOGROUP SPÓŁKA AKCYJNA,NNG (NANOGROUP)
286,NTT,NTT SYSTEM SPÓŁKA AKCYJNA,NTT (NTTSYSTEM)
287,NTU,AB NOVATURAS,NTU (NOVATURAS)
288,PANOVA,P.A. NOVA SPÓŁKA AKCYJNA,NVA (PANOVA)
289,NOVITA,NOVITA SPÓŁKA AKCYJNA,NVT (NOVITA)
290,NEWAG,NEWAG SPÓŁKA AKCYJNA,NWG (NEWAG)
291,NWR-NEW-WORLD-RESOURCES,NEW WORLD RESOURCES PLC,NWR (NEWWORLDR)
292,OAT,ONCOARENDI THERAPEUTICS SPÓŁKA AKCYJNA,OAT
293,ORZEL-BIALY,ORZEŁ BIAŁY SPÓŁKA AKCYJNA,OBL (ORZBIALY)
294,ODLEWNIE-POLSKIE,ODLEWNIE POLSKIE SPÓŁKA AKCYJNA,ODL (ODLEWNIE)
295,OEX,OEX SPÓŁKA AKCYJNA,OEX
296,OPEN-FINANCE,OPEN FINANCE SPÓŁKA AKCYJNA,OPF (OPENFIN)
297,ORCO-PROPERTY,ORCO PROPERTY GROUP SA,OPG (ORCOGROUP)
298,ORANGE,ORANGE POLSKA SPÓŁKA AKCYJNA,OPL (ORANGEPL)
299,OPTEAM,OPTEAM SPÓŁKA AKCYJNA,OPM (OPTEAM)
300,OPONEO-PL,OPONEO.PL SPÓŁKA AKCYJNA,OPN (OPONEO.PL)
301,ORBIS,ORBIS SPÓŁKA AKCYJNA,ORB (ORBIS)
302,ORION-INVESTMENT,ORION INVESTMENT SPÓŁKA AKCYJNA,ORN (ORION)
303,OTMUCHOW,ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SPÓŁKA AKCYJNA,OTM (OTMUCHOW)
304,OT-LOGISTICS,OT LOGISTICS SPÓŁKA AKCYJNA,OTS (OTLOG)
305,OVOSTAR,OVOSTAR UNION N.V.,OVO (OVOSTAR)
306,PATENTUS,PATENTUS SPÓŁKA AKCYJNA,PAT (PATENTUS)
307,PBS-FINANSE,PBS FINANSE SPÓŁKA AKCYJNA,PBF (PBSFINANSE)
308,PBG,PBG SPÓŁKA AKCYJNA,PBG
309,PEKABEX,POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX SPÓŁKA AKCYJNA,PBX (PEKABEX)
310,POLICE,GRUPA AZOTY ZAKŁADY CHEMICZNE POLICE SPÓŁKA AKCYJNA,PCE (POLICE)
311,PC-GUARD,PC GUARD SPÓŁKA AKCYJNA,PCG (PCGUARD)
312,PRIME-CAR-MANAGEMENT,PRIME CAR MANAGEMENT SPÓŁKA AKCYJNA,PCM
313,ROKITA,PCC ROKITA SPÓŁKA AKCYJNA,PCR (PCCROKITA)
314,PCC-EXOL,PCC EXOL SPÓŁKA AKCYJNA,PCX (PCCEXOL)
315,PRAIRIE-MINING-LIMITED,PRAIRIE MINING LIMITED,PDZ (PRAIRIE)
316,PEM,PRIVATE EQUITY MANAGERS SPÓŁKA AKCYJNA,PEM (PEMANAGER)
317,PEKAO,BANK POLSKA KASA OPIEKI SPÓŁKA AKCYJNA,PEO (PEKAO)
318,POLENERGIA,POLENERGIA SPÓŁKA AKCYJNA,PEP
319,PEIXIN,PEIXIN INTERNATIONAL GROUP N.V.,PEX (PEIXIN)
320,PFLEIDERER-GRAJEWO,PFLEIDERER GROUP SPÓŁKA AKCYJNA,PFL (PFLEIDER)
321,PGE,PGE POLSKA GRUPA ENERGETYCZNA SPÓŁKA AKCYJNA,PGE
322,POINT-GROUP,PMPG POLSKIE MEDIA SPÓŁKA AKCYJNA,PGM (PMPG)
323,PGNIG,POLSKIE GÓRNICTWO NAFTOWE I GAZOWNICTWO SPÓŁKA AKCYJNA,PGN (PGNIG)
324,POLSKA-GRUPA-ODLEWNICZA,PGO SPÓŁKA AKCYJNA,PGO
325,POLSKI-HOLDING-NIERUCHOMOSCI,POLSKI HOLDING NIERUCHOMOŚCI SPÓŁKA AKCYJNA,PHN
326,PLATYNOWE-INWESTYCJE,PLATYNOWE INWESTYCJE SPÓŁKA AKCYJNA,PIW (PLATYNINW)
327,PROJPRZEM,PROJPRZEM MAKRUM SPÓŁKA AKCYJNA,PJP (PROJPRZEM)
328,PKN-ORLEN,POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA,PKN (PKNORLEN)
329,PKO,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SPÓŁKA AKCYJNA,PKO (PKOBP)
330,PKPCARGO,PKP CARGO SPÓŁKA AKCYJNA,PKP (PKPCARGO)
331,PLAYWAY,PLAYWAY SPÓŁKA AKCYJNA,PLW (PLAYWAY)
332,PLAST-BOX,PRZETWÓRSTWO TWORZYW SZTUCZNYCH PLAST-BOX SPÓŁKA AKCYJNA,PLX (PLASTBOX)
333,PLY,PLAY COMMUNICATIONS SPÓŁKA AKCYJNA,PLY (PLAY)
334,PLAZACNTR,PLAZA CENTERS N.V.,PLZ (PLAZACNTR)
335,PRIMA-MODA,PRIMA MODA SPÓŁKA AKCYJNA,PMA (PRIMAMODA)
336,PEMUG,PEMUG SPÓŁKA AKCYJNA,PMG (PEMUG)
337,PAMAPOL,PAMAPOL SPÓŁKA AKCYJNA,PMP (PAMAPOL)
338,POLNORD,POLNORD SPÓŁKA AKCYJNA,PND (POLNORD)
339,POZBUD,POZBUD T&amp;amp;R SPÓŁKA AKCYJNA,POZ (POZBUD)
340,PEPEES,PRZEDSIĘBIORSTWO PRZEMYSŁU SPOŻYWCZEGO PEPEES SPÓŁKA AKCYJNA,PPS (PEPEES)
341,PROCAD,PROCAD SPÓŁKA AKCYJNA,PRD (PROCAD)
342,PRAGMA-FAKTORING,PRAGMA FAKTORING SPÓŁKA AKCYJNA,PRF (PRAGMAFA)
343,PRAGMA-INKASO,PRAGMA INKASO SPÓŁKA AKCYJNA,PRI (PRAGMAINK)
344,PROCHEM,PROCHEM SPÓŁKA AKCYJNA,PRM (PROCHEM)
345,PROTEKTOR,PROTEKTOR SPÓŁKA AKCYJNA,PRT (PROTEKTOR)
346,PGS-SOFTWARE,PGS SOFTWARE SPÓŁKA AKCYJNA,PSW (PGSSOFT)
347,PRIMETECH,PRIMETECH SPÓŁKA AKCYJNA,PTH (PRIMETECH)
348,ZPUE,ZPUE SPÓŁKA AKCYJNA,PUE (ZPUE)
349,POLWAX,POLWAX SPÓŁKA AKCYJNA,PWX (POLWAX)
350,POLIMEX,POLIMEX - MOSTOSTAL SPÓŁKA AKCYJNA,PXM (POLIMEXMS)
351,PZU,POWSZECHNY ZAKŁAD UBEZPIECZEŃ SPÓŁKA AKCYJNA,PZU
352,QUMAK,QUMAK SPÓŁKA AKCYJNA,QMK (QUMAK)
353,QUANTUM-SOFTWARE,QUANTUM SOFTWARE SPÓŁKA AKCYJNA,QNT (QUANTUM)
354,QUERCUS,QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,QRS (QUERCUS)
355,R22,R22 SPÓŁKA AKCYJNA,R22
356,RAFAMET,FABRYKA OBRABIAREK RAFAMET SPÓŁKA AKCYJNA,RAF (RAFAMET)
357,RUBICON-PARTNERS,RUBICON PARTNERS SPÓŁKA AKCYJNA,RBC (RUBICON)
358,RAINBOW-TOURS,RAINBOW TOURS SPÓŁKA AKCYJNA,RBW (RAINBOW)
359,RADPOL,RADPOL SPÓŁKA AKCYJNA,RDL (RADPOL)
360,REDAN,REDAN SPÓŁKA AKCYJNA,RDN (REDAN)
361,REGNON,REGNON SPÓŁKA AKCYJNA,REG (REGNON)
362,RES,RESBUD SE,RES (RESBUD)
363,RAFAKO,RAFAKO SPÓŁKA AKCYJNA,RFK (RAFAKO)
364,REINHOLD,REINHOLD EUROPE AB,RHD (REINHOLD)
365,RELPOL,RELPOL SPÓŁKA AKCYJNA,RLP (RELPOL)
366,REMAK,PRZEDSIĘBIORSTWO MODERNIZACJI URZĄDZEŃ ENERGETYCZNYCH REMAK SPÓŁKA AKCYJNA,RMK (REMAK)
367,RNC,REINO CAPITAL SPÓŁKA AKCYJNA,RNC (REINO)
368,RANK-PROGRESS,RANK PROGRESS SPÓŁKA AKCYJNA,RNK (RANKPROGR)
369,RONSON,RONSON EUROPE N.V.,RON (RONSON)
370,ROPCZYCE,ZAKŁADY MAGNEZYTOWE ROPCZYCE SPÓŁKA AKCYJNA,RPC (ROPCZYCE)
371,REDWOOD-HOLDING,REDWOOD HOLDING SPÓŁKA AKCYJNA,RWD (REDWOOD)
372,RAWLPLUG,RAWLPLUG SPÓŁKA AKCYJNA,RWL (RAWLPLUG)
373,SANTANDER,BANCO SANTANDER S.A.,SAN (SANTANDER)
374,SARE,SARE SPÓŁKA AKCYJNA,SAR (SARE)
375,SCO-PAK,SCO-PAK SPÓŁKA AKCYJNA,SCO (SCOPAK)
376,SEKO,SEKO SPÓŁKA AKCYJNA,SEK (SEKO)
377,SELENA-FM,SELENA FM SPÓŁKA AKCYJNA,SEL (SELENAFM)
378,SEN,SERINUS ENERGY INC.,SEN (SERINUS)
379,SESCOM,SESCOM SPÓŁKA AKCYJNA,SES (SESCOM)
380,SETANTA-FINANCE,SETANTA SPÓŁKA AKCYJNA,SET (SETANTA)
381,AS-SILVANO-FASHION,AS SILVANO FASHION GROUP,SFG (SILVANO)
382,SFINKS,SFINKS POLSKA SPÓŁKA AKCYJNA,SFS (SFINKS)
383,SYGNITY,SYGNITY SPÓŁKA AKCYJNA,SGN (SYGNITY)
384,SADOVAYA,SADOVAYA GROUP S.A.,SGR (SADOVAYA)
385,SOHO-DEVELOPMENT,SOHO DEVELOPMENT SPÓŁKA AKCYJNA,SHD (SOHODEV)
386,STARHEDGE,STARHEDGE SPÓŁKA AKCYJNA,SHG (STARHEDGE)
387,SNIEZKA,FABRYKA FARB I LAKIERÓW ŚNIEŻKA SPÓŁKA AKCYJNA,SKA (SNIEZKA)
388,SKARBIEC-HOLDING,SKARBIEC HOLDING SPÓLKA AKCYJNA,SKH (SKARBIEC)
389,SKYLINE-INVESTMENT,SKYLINE INVESTMENT SPÓŁKA AKCYJNA,SKL (SKYLINE)
390,SKOTAN,SKOTAN SPÓŁKA AKCYJNA,SKT (SKOTAN)
391,SELVITA,SELVITA SPÓŁKA AKCYJNA,SLV (SELVITA)
392,SLZ,SLEEPZ AG,SLZ (SLEEPZAG)
393,SIMPLE,SIMPLE SPÓŁKA AKCYJNA,SME (SIMPLE)
394,STOMIL-SANOK,SANOK RUBBER COMPANY SPÓŁKA AKCYJNA,SNK (SANOK)
395,SYNEKTIK,SYNEKTIK SPÓŁKA AKCYJNA,SNT (SYNEKTIK)
396,SANWIL-HOLDING,SANWIL HOLDING SPÓŁKA AKCYJNA,SNW (SANWIL)
397,SUNEX,SUNEX SPÓŁKA AKCYJNA,SNX (SUNEX)
398,SOLAR-COMPANY,SOLAR COMPANY SPÓŁKA AKCYJNA,SOL (SOLAR)
399,SONEL,SONEL SPÓŁKA AKCYJNA,SON (SONEL)
400,SP2,SANTANDER BANK POLSKA SPÓŁKA AKCYJNA akcje serii M,SP2 (SANPL2)
401,SOPHARMA,SOPHARMA AD,SPH (SOPHARMA)
402,SPL,SANTANDER BANK POLSKA SPÓŁKA AKCYJNA,SPL (SANPL)
403,STALPROFIL,STALPROFIL SPÓŁKA AKCYJNA,STF (STALPROFI)
404,STELMET,STELMET SPÓŁKA AKCYJNA,STL (STELMET)
405,STALPRODUKT,STALPRODUKT SPÓŁKA AKCYJNA,STP (STALPROD)
406,STALEXPORT-AUTOSTRADY,STALEXPORT AUTOSTRADY SPÓŁKA AKCYJNA,STX (STALEXP)
407,SUWARY,SUWARY SPÓŁKA AKCYJNA,SUW (SUWARY)
408,SVRS,"SILVAIR, INC.",SVRS (SILVAIR-REGS)
409,SWISSMED-CENTRUM-ZDROWIA,SWISSMED CENTRUM ZDROWIA SPÓŁKA AKCYJNA,SWD (SWISSMED)
410,SECO-WARWICK,SECO/WARWICK SPÓŁKA AKCYJNA,SWG (SECOGROUP)
411,TARCZYNSKI,TARCZYŃSKI SPÓŁKA AKCYJNA,TAR (TARCZYNSKI)
412,TBL,T-BULL SPÓŁKA AKCYJNA,TBL (TBULL)
413,TEN,TEN SQUARE GAMES SPÓŁKA AKCYJNA,TEN (TSGAMES)
414,TIM,TIM SPÓŁKA AKCYJNA,TIM
415,TALEX,TALEX SPÓŁKA AKCYJNA,TLX (TALEX)
416,TATRY-MOUNTAIN-RESORTS,TATRY MOUNTAIN RESORTS. A.S.,TMR (TATRY)
417,TNX,TALANX AKTIENGESELLSCHAFT,TNX (TALANX)
418,TOYA,TOYA SPÓŁKA AKCYJNA,TOA (TOYA)
419,TORPOL,TORPOL SPÓŁKA AKCYJNA,TOR (TORPOL)
420,TOWERINV,TOWER INVESTMENTS SPÓŁKA AKCYJNA,TOW (TOWERINVT)
421,TAURON,TAURON POLSKA ENERGIA SPÓŁKA AKCYJNA,TPE (TAURONPE)
422,TRITON-DEVELOPMENT,TRITON DEVELOPMENT SPÓŁKA AKCYJNA,TRI (TRITON)
423,TRAKCJA,TRAKCJA PRKII SPÓŁKA AKCYJNA,TRK (TRAKCJA)
424,TRANS-POLONIA,TRANS POLONIA SPÓŁKA AKCYJNA,TRN (TRANSPOL)
425,TERMO-REX,TERMO-REX SPÓŁKA AKCYJNA,TRR (TERMOREX)
426,TESGAS,TESGAS SPÓŁKA AKCYJNA,TSG (TESGAS)
427,TXM,TXM SPÓŁKA AKCYJNA,TXM
428,UNIMA-2000,UNIMA 2000 SYSTEMY TELEINFORMATYCZNE SPÓŁKA AKCYJNA,U2K (UNIMA)
429,UNICREDIT,UNICREDIT S.P.A.,UCG (UNICREDIT)
430,ULMA-CONSTRUCCION,ULMA CONSTRUCCION POLSKA SPÓŁKA AKCYJNA,ULM (ULMA)
431,UNIBEP,UNIBEP SPÓŁKA AKCYJNA,UNI (UNIBEP)
432,UNIMOT-GAZ,UNIMOT SPÓŁKA AKCYJNA,UNT (UNIMOT)
433,URSUS,URSUS SPÓŁKA AKCYJNA,URS (URSUS)
434,VIGO-SYSTEM,VIGO SYSTEM SPÓŁKA AKCYJNA,VGO (VIGOSYS)
435,VINDEXUS,GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS SPÓŁKA AKCYJNA,VIN (VINDEXUS)
436,VOTUM,VOTUM SPÓŁKA AKCYJNA,VOT (VOTUM)
437,VOXEL,VOXEL SPÓŁKA AKCYJNA,VOX (VOXEL)
438,VISTULA,VISTULA RETAIL GROUP SPÓŁKA AKCYJNA,VST (VISTULA)
439,VANTAGE-DEVELOPMENT,VANTAGE DEVELOPMENT SPÓŁKA AKCYJNA,VTG (VANTAGE)
440,VENTURE-INCUBATOR,VENTURE INCUBATOR SPÓŁKA AKCYJNA,VTI (VENTUREIN)
441,VISTAL,VISTAL GDYNIA SPÓŁKA AKCYJNA,VTL (VISTAL)
442,VIVID-GAMES,VIVID GAMES SPÓŁKA AKCYJNA,VVD (VIVID)
443,WASKO,WASKO SPÓŁKA AKCYJNA,WAS (WASKO)
444,WADEX,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE WADEX SPÓŁKA AKCYJNA,WAX (WADEX)
445,WIKANA,WIKANA SPÓŁKA AKCYJNA,WIK (WIKANA)
446,WIS,BALTIC BRIDGE SPÓŁKA AKCYJNA,WIS (WINVEST)
447,WILBO,WILBO SPÓŁKA AKCYJNA,WLB (WILBO)
448,WIELTON,WIELTON SPÓŁKA AKCYJNA,WLT (WIELTON)
449,WOJAS,WOJAS SPÓŁKA AKCYJNA,WOJ (WOJAS)
450,WIRTUALNA-POLSKA,WIRTUALNA POLSKA HOLDING SPÓŁKA AKCYJNA,WPL (WIRTUALNA)
451,WORK-SERVICE,WORK SERVICE SPÓŁKA AKCYJNA,WSE (WORKSERV)
452,WTN,WITTCHEN SPÓŁKA AKCYJNA,WTN (WITTCHEN)
453,WAWEL,WAWEL SPÓŁKA AKCYJNA,WWL (WAWEL)
454,WARIMPEX,WARIMPEX FINANZ- UND BETEILIGUNGS AG,WXF (WARIMPEX)
455,XTB,X-TRADE BROKERS DOM MAKLERSKI SPÓŁKA AKCYJNA,XTB
456,XTP,XTPL SPÓŁKA AKCYJNA,XTP (XTPL)
457,YOLO,YOLO SPÓŁKA AKCYJNA,YOL (YOLO)
458,ZAKLADY-AZOTOWE-PULAWY,GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY SPÓŁKA AKCYJNA,ZAP (PULAWY)
459,ZEPAK,ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN SPÓŁKA AKCYJNA,ZEP (ZEPAK)
460,ZAMET-INDUSTRY,ZAMET INDUSTRY SPÓŁKA AKCYJNA,ZMT (ZAMET)
461,ZREMB-CHOJNICE,ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SPÓŁKA AKCYJNA,ZRE (ZREMB)
462,ZASTAL,ZASTAL SPÓŁKA AKCYJNA,ZST (ZASTAL)
463,ZUE,ZUE SPÓŁKA AKCYJNA,ZUE
464,STAPORKOW,ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW SPÓŁKA AKCYJNA,ZUK (STAPORKOW)
465,ZYWIEC,GRUPA ŻYWIEC SPÓŁKA AKCYJNA,ZWC (ZYWIEC)
466,01CYBERATON,01CYBERATON SPÓŁKA AKCYJNA,01C (01CYBATON)
467,2C-PARTNERS,2C PARTNERS SPÓŁKA AKCYJNA,2CP (2CPARTNER)
468,2INTELLECT-COM,2INTELLECT.COM SPÓŁKA AKCYJNA,2IT (2INTELLECT)
469,4MOBILITY,4MOBILITY SPÓŁKA AKCYJNA,4MB (4MOBILITY)
470,4MS,4MASS SPÓŁKA AKCYJNA,4MS (4MASS)
471,5TH-AVENUE-HOLDING,5TH AVENUE HOLDING SPÓŁKA AKCYJNA,5AH (5THAVENUE)
472,7FT,7FIT SPÓŁKA AKCYJNA,7FT (7FIT)
473,7LV,7LEVELS SPÓŁKA AKCYJNA,7LV (7LEVELS)
474,ABAK,ABAK SPÓŁKA AKCYJNA,ABK (ABAK)
475,ACARTUS,ACARTUS SPÓŁKA AKCYJNA,ACA (ACARTUS)
476,ACK,ACKERMAN SPÓŁKA AKCYJNA,ACK (ACKERMAN)
477,ACR,ACREBIT SPÓŁKA AKCYJNA,ACR (ACREBIT)
478,AERFINANCE-PLC,AERFINANCE SE,AER (AERFINANC)
479,AKCEPT-FINANCE,AKCEPT FINANCE SPÓŁKA AKCYJNA,AFC (AKCEPTFIN)
480,AFORTI-HOLDING,AFORTI HOLDING SPÓŁKA AKCYJNA,AFH (AFHOL)
481,AGROLIGA-GROUP,AGROLIGA GROUP PLC,AGL (AGROLIGA)
482,AGROMEP,AGROMEP SPÓŁKA AKCYJNA,AGP (AGROMEP)
483,ABS-INVESTMENT,ABS INVESTMENT SPÓŁKA AKCYJNA,AIN (ABSINVEST)
484,AITON-CALDWELL,AITON CALDWELL SPÓŁKA AKCYJNA,AIT (AITON)
485,ALDA,ALDA SPÓŁKA AKCYJNA,ALD (ALDA)
486,ALEJASAMOCHODOWA-PL,ALEJASAMOCHODOWA.PL SPÓŁKA AKCYJNA,ALS (ALEJA)
487,ALUMAST,ALUMAST SPÓŁKA AKCYJNA,ALU (ALUMAST)
488,ANALIZY-ONLINE,ANALIZY ONLINE SPÓŁKA AKCYJNA,AOL (ANALIZY)
489,APANET,APANET SPÓŁKA AKCYJNA,APA (APANET)
490,APC,APOLLO CAPITAL SPÓŁKA AKCYJNA,APC (APOLLO)
491,APS,AUTOMATYKA-POMIARY-STEROWANIE SPÓŁKA AKCYJNA,APS
492,AQUA,AQUA SPÓŁKA AKCYJNA W POZNANIU,AQA (AQUAPOZ)
493,AQT,AQUATECH SPÓŁKA AKCYJNA,AQT (AQUATECH)
494,AQUA-BIELSKO-BIALA,AQUA SPÓŁKA AKCYJNA W BIELSKU-BIAŁEJ,AQU (AQUABB)
495,ARAMUS,ARAMUS SPÓŁKA AKCYJNA,ARA (ARAMUS)
496,ARE,ARENA.PL SPÓŁKA AKCYJNA,ARE (ARENAPL)
497,AGENCJA-ROZWOJU-INNOWACJI,AGENCJA ROZWOJU INNOWACJI SPÓLKA AKCYJNA,ARI
498,ARK,ARK ROYAL SPÓŁKA AKCYJNA,ARK (ARKROYAL)
499,ARRINERA,ARRINERA SPÓŁKA AKCYJNA,ARX (ARRINERA)
500,APIS,APIS SPÓŁKA AKCYJNA,ASA (APIS)
501,AUTO-SPA,AUTO - SPA SPÓŁKA AKCYJNA,ASP (AUTOSPA)
502,ASTRO,ASTRO SPÓŁKA AKCYJNA,ASR (ASTRO)
503,ASSETUS,ASSETUS SPÓŁKA AKCYJNA,ASS (ASSETUS)
504,ATC-CARGO,ATC CARGO SPÓŁKA AKCYJNA,ATA (ATCCARGO)
505,ATON-HT,ATON-HT SPÓŁKA AKCYJNA,ATO (ATONHT)
506,AUX,AUXILIA SPÓŁKA AKCYJNA,AUX (AUXILIA)
507,ADVERTIGO,ADVERTIGO SPÓŁKA AKCYJNA,AVE (ADVERTIGO)
508,AZTEC-INTERNATIONAL,AZTEC INTERNATIONAL SPÓŁKA AKCYJNA,AZC (AZTEC)
509,B24,BRAND 24 SPÓŁKA AKCYJNA,B24 (BRAND24)
510,BBA,BESKIDZKIE BIURO INWESTYCYJNE SPÓŁKA AKCYJNA,BBA (BBINWEST)
511,BALTIC-CERAMICS-INVESTMENTS,BALTIC CERAMICS INVESTMENTS SPÓŁKA AKCYJNA,BCI (BALTICINV)
512,BROAD-GATE,BROAD GATE SPÓŁKA AKCYJNA,BDG (BROADGATE)
513,BIOMASS-ENERGY-PROJECT,BIOMASS ENERGY PROJECT SPÓŁKA AKCYJNA,BEP (BIOMASS)
514,BIOERG,BIOERG SPÓŁKA AKCYJNA,BER (BIOERG)
515,BIOFACTORY,BIOFACTORY SPÓŁKA AKCYJNA,BFC (BIOFACTOR)
516,BIOGENED,BIOGENED SPÓŁKA AKCYJNA,BGD (BIOGENED)
517,BINARY-HELIX,BINARY HELIX SPÓŁKA AKCYJNA,BHX (BINARY)
518,BIO-PLANET,BIO PLANET SPÓŁKĄ AKCYJNA,BIP (BIOPLANET)
519,BIT,BIT EVIL SPÓŁKA AKCYJNA,BIT (BITEVIL)
520,BLOOBER-TEAM,BLOOBER TEAM SPÓŁKA AKCYJNA,BLO (BLOOBER)
521,BLIRT,BLIRT SPÓŁKA AKCYJNA,BLR (BLIRT)
522,BALTICON,BALTICON SPÓŁKA AKCYJNA,BLT (BALTICON)
523,BLUMERANG-INVESTORS,BLUMERANG INVESTORS SPÓŁKA AKCYJNA,BLU (BLUMERANG)
524,BIOMAXIMA,BIOMAXIMA SPÓŁKA AKCYJNA,BMX (BIOMAXIMA)
525,BOA,BOA SPÓŁKA AKCYJNA,BOA
526,BLACK-PEARL-CAPITAL,BLACK PEARL SPÓŁKA AKCYJNA,BPC
527,BLACK-POINT,BLACK POINT SPÓŁKA AKCYJNA,BPN (BLACKPOIN)
528,BPX,BPX SPÓŁKA AKCYJNA,BPX
529,BROWAR-GONTYNIEC,BROWAR GONTYNIEC SPÓŁKA AKCYJNA,BRO (CZARNKOW)
530,BORUTA,BORUTA-ZACHEM SPÓŁKA AKCYJNA,BRU (BORUTA)
531,BRAS,BRAS SPÓŁKA AKCYJNA,BSA (BRAS)
532,BLUE-TAX-GROUP,BLUE TAX GROUP SPÓŁKA AKCYJNA,BTG (BLUETAX)
533,BTK,BIZTECH KONSULTING SPÓŁKA AKCYJNA,BTK (BIZTECH)
534,BTX,FORBUILD SPÓŁKA AKCYJNA,BTX (BETOMAX)
535,BVT,BVT SPÓŁKA AKCYJNA,BVT
536,CAM,CAMBRIDGE CHOCOLATE SPÓŁKA AKCYJNA,CAM (CAMBRIDGE)
537,CYFROWE-CENTRUM-SERWISOWE,CYFROWE CENTRUM SERWISOWE SPÓŁKA AKCYJNA,CCS
538,CALL-CENTER-TOOLS,CALL CENTER TOOLS SPÓŁKA AKCYJNA,CCT (CCTOOLS)
539,CFG,CREATIVEFORGE GAMES SPÓŁKA AKCYJNA,CFG
540,CFS,CENTRUM FINANSOWE SPÓŁKA AKCYJNA,CFS (CFSA)
541,CHP,CHERRYPICK GAMES SPÓŁKA AKCYJNA,CHP (CHERRY)
542,COLUMBUS-CAPITAL,COLUMBUS ENERGY SPÓŁKA AKCYJNA,CLC (COLUMBUS)
543,CLOUD-TECHNOLOGIES,CLOUD TECHNOLOGIES SPÓŁKA AKCYJNA,CLD (CLOUD)
544,CALESCO,CALESCO SPÓŁKA AKCYJNA,CLS (CALESCO)
545,COMECO,COMECO SPÓŁKA AKCYJNA,CMC (COMECO)
546,COMPRESS,COMPRESS SPÓŁKA AKCYJNA,COM (COMPRESS)
547,CORELENS,CORELENS SPÓŁKA AKCYJNA,COR (CORELENS)
548,CRJ,CREEPY JAR SPÓŁKA AKCYJNA,CRJ (CREEPYJAR)
549,CEREAL-PLANET,CEREAL PLANET PLC,CRP (CEREALPLT)
550,COPERNICUS-SECURITIES,COPERNICUS SECURITIES SPÓŁKA AKCYJNA,CRS (COPERNIC)
551,CASPAR-ASSET-MANAGEMENT,CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA,CSR (CASPAR)
552,CSY,CSY SPÓŁKA AKCYJNA,CSY
