,Skrot,Nazwa,Druga,Sektor
417,TOWERINV,TOWER INVESTMENTS SPÓŁKA AKCYJNA,TOW (TOWERINVT),GPW: Deweloperzy
418,TAURON,TAURON POLSKA ENERGIA SPÓŁKA AKCYJNA,TPE (TAURONPE),GPW: Energetyka
419,TRITON-DEVELOPMENT,TRITON DEVELOPMENT SPÓŁKA AKCYJNA,TRI (TRITON),GPW: Deweloperzy
420,TRAKCJA,TRAKCJA PRKII SPÓŁKA AKCYJNA,TRK (TRAKCJA),GPW: Budownictwo
421,TRANS-POLONIA,TRANS POLONIA SPÓŁKA AKCYJNA,TRN (TRANSPOL),GPW: Usługi inne
422,TERMO-REX,TERMO-REX SPÓŁKA AKCYJNA,TRR (TERMOREX),GPW: Przemysł metalowy
423,TESGAS,TESGAS SPÓŁKA AKCYJNA,TSG (TESGAS),GPW: Budownictwo
424,TXM,TXM SPÓŁKA AKCYJNA,TXM,GPW: Handel detaliczny
425,UNIMA-2000,UNIMA 2000 SYSTEMY TELEINFORMATYCZNE SPÓŁKA AKCYJNA,U2K (UNIMA),GPW: Informatyka
426,UNICREDIT,UNICREDIT S.P.A.,UCG (UNICREDIT),GPW: Banki
427,ULMA-CONSTRUCCION,ULMA CONSTRUCCION POLSKA SPÓŁKA AKCYJNA,ULM (ULMA),GPW: Przemysł materiałów budowlanych
428,UNIBEP,UNIBEP SPÓŁKA AKCYJNA,UNI (UNIBEP),GPW: Budownictwo
429,UNIMOT-GAZ,UNIMOT SPÓŁKA AKCYJNA,UNT (UNIMOT),GPW: Handel hurtowy
430,URSUS,URSUS SPÓŁKA AKCYJNA,URS (URSUS),GPW: Przemysł elektromaszynowy
431,VIGO-SYSTEM,VIGO SYSTEM SPÓŁKA AKCYJNA,VGO (VIGOSYS),GPW: Przemysł elektromaszynowy
432,VINDEXUS,GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS SPÓŁKA AKCYJNA,VIN (VINDEXUS),GPW: Finanse inne
433,VOTUM,VOTUM SPÓŁKA AKCYJNA,VOT (VOTUM),GPW: Finanse inne
434,VOXEL,VOXEL SPÓŁKA AKCYJNA,VOX (VOXEL),GPW: Usługi inne
435,VISTULA,VISTULA RETAIL GROUP SPÓŁKA AKCYJNA,VST (VISTULA),GPW: Handel detaliczny
436,VANTAGE-DEVELOPMENT,VANTAGE DEVELOPMENT SPÓŁKA AKCYJNA,VTG (VANTAGE),GPW: Deweloperzy
437,VENTURE-INCUBATOR,VENTURE INCUBATOR SPÓŁKA AKCYJNA,VTI (VENTUREIN),GPW: Finanse inne
438,VISTAL,VISTAL GDYNIA SPÓŁKA AKCYJNA,VTL (VISTAL),GPW: Budownictwo
439,VIVID-GAMES,VIVID GAMES SPÓŁKA AKCYJNA,VVD (VIVID),GPW: Informatyka
440,WASKO,WASKO SPÓŁKA AKCYJNA,WAS (WASKO),GPW: Informatyka
441,WADEX,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE WADEX SPÓŁKA AKCYJNA,WAX (WADEX),GPW: Przemysł metalowy
442,WIKANA,WIKANA SPÓŁKA AKCYJNA,WIK (WIKANA),GPW: Deweloperzy
443,WIS,BALTIC BRIDGE SPÓŁKA AKCYJNA,WIS (WINVEST),GPW: Finanse inne
444,WILBO,WILBO SPÓŁKA AKCYJNA,WLB (WILBO),GPW: Przemysł spożywczy
445,WIELTON,WIELTON SPÓŁKA AKCYJNA,WLT (WIELTON),GPW: Przemysł motoryzacyjny
446,WOJAS,WOJAS SPÓŁKA AKCYJNA,WOJ (WOJAS),GPW: Handel detaliczny
447,WIRTUALNA-POLSKA,WIRTUALNA POLSKA HOLDING SPÓŁKA AKCYJNA,WPL (WIRTUALNA),GPW: Media
448,WORK-SERVICE,WORK SERVICE SPÓŁKA AKCYJNA,WSE (WORKSERV),GPW: Usługi inne
449,WTN,WITTCHEN SPÓŁKA AKCYJNA,WTN (WITTCHEN),GPW: Handel detaliczny
450,WAWEL,WAWEL SPÓŁKA AKCYJNA,WWL (WAWEL),GPW: Przemysł spożywczy
451,WARIMPEX,WARIMPEX FINANZ- UND BETEILIGUNGS AG,WXF (WARIMPEX),GPW: Deweloperzy
452,XTB,X-TRADE BROKERS DOM MAKLERSKI SPÓŁKA AKCYJNA,XTB,GPW: Rynek kapitałowy
453,XTP,XTPL SPÓŁKA AKCYJNA,XTP (XTPL),GPW: Informatyka
454,YOLO,YOLO SPÓŁKA AKCYJNA,YOL (YOLO),GPW: Finanse inne
455,ZAKLADY-AZOTOWE-PULAWY,GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY SPÓŁKA AKCYJNA,ZAP (PULAWY),GPW: Przemysł chemiczny
456,ZEPAK,ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN SPÓŁKA AKCYJNA,ZEP (ZEPAK),GPW: Energetyka
457,ZAMET-INDUSTRY,ZAMET INDUSTRY SPÓŁKA AKCYJNA,ZMT (ZAMET),GPW: Przemysł elektromaszynowy
458,ZREMB-CHOJNICE,ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SPÓŁKA AKCYJNA,ZRE (ZREMB),GPW: Przemysł elektromaszynowy
459,ZASTAL,ZASTAL SPÓŁKA AKCYJNA,ZST (ZASTAL),GPW: Usługi inne
460,ZUE,ZUE SPÓŁKA AKCYJNA,ZUE,GPW: Budownictwo
461,STAPORKOW,ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW SPÓŁKA AKCYJNA,ZUK (STAPORKOW),GPW: Przemysł metalowy
462,ZYWIEC,GRUPA ŻYWIEC SPÓŁKA AKCYJNA,ZWC (ZYWIEC),GPW: Przemysł spożywczy
463,01CYBERATON,01CYBERATON SPÓŁKA AKCYJNA,01C (01CYBATON),NewConnect: Handel
464,2C-PARTNERS,2C PARTNERS SPÓŁKA AKCYJNA,2CP (2CPARTNER),NewConnect: Nieruchomości
465,2INTELLECT-COM,2INTELLECT.COM SPÓŁKA AKCYJNA,2IT (2INTELLECT),NewConnect: Informatyka
466,4MOBILITY,4MOBILITY SPÓŁKA AKCYJNA,4MB (4MOBILITY),NewConnect: Usługi inne
467,4MS,4MASS SPÓŁKA AKCYJNA,4MS (4MASS),NewConnect: Handel
468,5TH-AVENUE-HOLDING,5TH AVENUE HOLDING SPÓŁKA AKCYJNA,5AH (5THAVENUE),NewConnect: Nieruchomości
469,7FT,7FIT SPÓŁKA AKCYJNA,7FT (7FIT),NewConnect: Handel
470,7LV,7LEVELS SPÓŁKA AKCYJNA,7LV (7LEVELS),NewConnect: Informatyka
471,ABAK,ABAK SPÓŁKA AKCYJNA,ABK (ABAK),NewConnect: Usługi finansowe
472,ACARTUS,ACARTUS SPÓŁKA AKCYJNA,ACA (ACARTUS),NewConnect: Usługi finansowe
473,ACK,ACKERMAN SPÓŁKA AKCYJNA,ACK (ACKERMAN),NewConnect: Budownictwo
474,ACR,ACREBIT SPÓŁKA AKCYJNA,ACR (ACREBIT),NewConnect: Informatyka
475,AERFINANCE-PLC,AERFINANCE SE,AER (AERFINANC),NewConnect: Inwestycje
476,AKCEPT-FINANCE,AKCEPT FINANCE SPÓŁKA AKCYJNA,AFC (AKCEPTFIN),NewConnect: Usługi finansowe
477,AFORTI-HOLDING,AFORTI HOLDING SPÓŁKA AKCYJNA,AFH (AFHOL),NewConnect: Usługi finansowe
478,AGROLIGA-GROUP,AGROLIGA GROUP PLC,AGL (AGROLIGA),NewConnect: Usługi inne
479,AGROMEP,AGROMEP SPÓŁKA AKCYJNA,AGP (AGROMEP),NewConnect: Handel
480,ABS-INVESTMENT,ABS INVESTMENT SPÓŁKA AKCYJNA,AIN (ABSINVEST),NewConnect: Usługi finansowe
481,AITON-CALDWELL,AITON CALDWELL SPÓŁKA AKCYJNA,AIT (AITON),NewConnect: Telekomunikacja
482,ALDA,ALDA SPÓŁKA AKCYJNA,ALD (ALDA),NewConnect: Technologie
483,ALEJASAMOCHODOWA-PL,ALEJASAMOCHODOWA.PL SPÓŁKA AKCYJNA,ALS (ALEJA),NewConnect: e-handel
484,ALUMAST,ALUMAST SPÓŁKA AKCYJNA,ALU (ALUMAST),NewConnect: Budownictwo
485,ANALIZY-ONLINE,ANALIZY ONLINE SPÓŁKA AKCYJNA,AOL (ANALIZY),NewConnect: Usługi inne
486,APANET,APANET SPÓŁKA AKCYJNA,APA (APANET),NewConnect: Technologie
487,APC,APOLLO CAPITAL SPÓŁKA AKCYJNA,APC (APOLLO),NewConnect: Inwestycje
488,APS,AUTOMATYKA-POMIARY-STEROWANIE SPÓŁKA AKCYJNA,APS,NewConnect: Technologie
489,AQUA,AQUA SPÓŁKA AKCYJNA W POZNANIU,AQA (AQUAPOZ),NewConnect: Budownictwo
490,AQT,AQUATECH SPÓŁKA AKCYJNA,AQT (AQUATECH),NewConnect: Recykling
491,AQUA-BIELSKO-BIALA,AQUA SPÓŁKA AKCYJNA W BIELSKU-BIAŁEJ,AQU (AQUABB),NewConnect: Usługi inne
492,ARAMUS,ARAMUS SPÓŁKA AKCYJNA,ARA (ARAMUS),NewConnect: Nieruchomości
493,ARE,ARENA.PL SPÓŁKA AKCYJNA,ARE (ARENAPL),NewConnect: Technologie
494,AGENCJA-ROZWOJU-INNOWACJI,AGENCJA ROZWOJU INNOWACJI SPÓLKA AKCYJNA,ARI,NewConnect: Usługi inne
495,ARK,ARK ROYAL SPÓŁKA AKCYJNA,ARK (ARKROYAL),NewConnect: Usługi inne
496,ARRINERA,ARRINERA SPÓŁKA AKCYJNA,ARX (ARRINERA),NewConnect: Usługi inne
497,APIS,APIS SPÓŁKA AKCYJNA,ASA (APIS),NewConnect: Budownictwo
498,AUTO-SPA,AUTO - SPA SPÓŁKA AKCYJNA,ASP (AUTOSPA),NewConnect: Usługi inne
499,ASTRO,ASTRO SPÓŁKA AKCYJNA,ASR (ASTRO),NewConnect: Media
500,ASSETUS,ASSETUS SPÓŁKA AKCYJNA,ASS (ASSETUS),NewConnect: Usługi inne
501,ATC-CARGO,ATC CARGO SPÓŁKA AKCYJNA,ATA (ATCCARGO),NewConnect: Usługi inne
502,ATON-HT,ATON-HT SPÓŁKA AKCYJNA,ATO (ATONHT),NewConnect: Recykling
503,AUX,AUXILIA SPÓŁKA AKCYJNA,AUX (AUXILIA),NewConnect: Usługi finansowe
504,ADVERTIGO,ADVERTIGO SPÓŁKA AKCYJNA,AVE (ADVERTIGO),NewConnect: Media
505,AZTEC-INTERNATIONAL,AZTEC INTERNATIONAL SPÓŁKA AKCYJNA,AZC (AZTEC),NewConnect: Budownictwo
506,B24,BRAND 24 SPÓŁKA AKCYJNA,B24 (BRAND24),NewConnect: Informatyka
507,BBA,BESKIDZKIE BIURO INWESTYCYJNE SPÓŁKA AKCYJNA,BBA (BBINWEST),NewConnect: Usługi inne
508,BROAD-GATE,BROAD GATE SPÓŁKA AKCYJNA,BDG (BROADGATE),NewConnect: Handel
509,BIOMASS-ENERGY-PROJECT,BIOMASS ENERGY PROJECT SPÓŁKA AKCYJNA,BEP (BIOMASS),NewConnect: Eco-energia
510,BIOERG,BIOERG SPÓŁKA AKCYJNA,BER (BIOERG),NewConnect: Recykling
511,BIOFACTORY,BIOFACTORY SPÓŁKA AKCYJNA,BFC (BIOFACTOR),NewConnect: Technologie
512,BIOGENED,BIOGENED SPÓŁKA AKCYJNA,BGD (BIOGENED),NewConnect: Ochrona zdrowia
513,BINARY-HELIX,BINARY HELIX SPÓŁKA AKCYJNA,BHX (BINARY),NewConnect: Technologie
514,BIO-PLANET,BIO PLANET SPÓŁKĄ AKCYJNA,BIP (BIOPLANET),NewConnect: Handel
515,BIT,BIT EVIL SPÓŁKA AKCYJNA,BIT (BITEVIL),NewConnect: e-handel
516,BLOOBER-TEAM,BLOOBER TEAM SPÓŁKA AKCYJNA,BLO (BLOOBER),NewConnect: Informatyka
517,BLIRT,BLIRT SPÓŁKA AKCYJNA,BLR (BLIRT),NewConnect: Ochrona zdrowia
518,BALTICON,BALTICON SPÓŁKA AKCYJNA,BLT (BALTICON),NewConnect: Usługi inne
519,BLUMERANG-INVESTORS,BLUMERANG INVESTORS SPÓŁKA AKCYJNA,BLU (BLUMERANG),NewConnect: Inwestycje
520,BIOMAXIMA,BIOMAXIMA SPÓŁKA AKCYJNA,BMX (BIOMAXIMA),NewConnect: Ochrona zdrowia
521,BOA,BOA SPÓŁKA AKCYJNA,BOA,NewConnect: Usługi finansowe
522,BLACK-PEARL-CAPITAL,BLACK PEARL SPÓŁKA AKCYJNA,BPC,NewConnect: Inwestycje
523,BLACK-POINT,BLACK POINT SPÓŁKA AKCYJNA,BPN (BLACKPOIN),NewConnect: Recykling
524,BPX,BPX SPÓŁKA AKCYJNA,BPX,NewConnect: Nieruchomości
525,BROWAR-GONTYNIEC,BROWAR GONTYNIEC SPÓŁKA AKCYJNA,BRO (CZARNKOW),NewConnect: Handel
526,BORUTA,BORUTA-ZACHEM SPÓŁKA AKCYJNA,BRU (BORUTA),NewConnect: Technologie
527,BRAS,BRAS SPÓŁKA AKCYJNA,BSA (BRAS),NewConnect: Nieruchomości
528,BLUE-TAX-GROUP,BLUE TAX GROUP SPÓŁKA AKCYJNA,BTG (BLUETAX),NewConnect: Usługi finansowe
529,BTK,BIZTECH KONSULTING SPÓŁKA AKCYJNA,BTK (BIZTECH),NewConnect: Informatyka
530,BTX,FORBUILD SPÓŁKA AKCYJNA,BTX (BETOMAX),NewConnect: Budownictwo
531,BVT,BVT SPÓŁKA AKCYJNA,BVT,NewConnect: Usługi finansowe
532,CAM,CAMBRIDGE CHOCOLATE SPÓŁKA AKCYJNA,CAM (CAMBRIDGE),NewConnect: Usługi inne
533,CYFROWE-CENTRUM-SERWISOWE,CYFROWE CENTRUM SERWISOWE SPÓŁKA AKCYJNA,CCS,NewConnect: Handel
534,CALL-CENTER-TOOLS,CALL CENTER TOOLS SPÓŁKA AKCYJNA,CCT (CCTOOLS),NewConnect: Usługi inne
535,CFG,CREATIVEFORGE GAMES SPÓŁKA AKCYJNA,CFG,NewConnect: Informatyka
536,CFS,CENTRUM FINANSOWE SPÓŁKA AKCYJNA,CFS (CFSA),NewConnect: Usługi finansowe
537,CHP,CHERRYPICK GAMES SPÓŁKA AKCYJNA,CHP (CHERRY),NewConnect: Informatyka
538,COLUMBUS-CAPITAL,COLUMBUS ENERGY SPÓŁKA AKCYJNA,CLC (COLUMBUS),NewConnect: Inwestycje
539,CLOUD-TECHNOLOGIES,CLOUD TECHNOLOGIES SPÓŁKA AKCYJNA,CLD (CLOUD),NewConnect: Informatyka
540,CALESCO,CALESCO SPÓŁKA AKCYJNA,CLS (CALESCO),NewConnect: Usługi inne
541,COMECO,COMECO SPÓŁKA AKCYJNA,CMC (COMECO),NewConnect: Handel
542,COMPRESS,COMPRESS SPÓŁKA AKCYJNA,COM (COMPRESS),NewConnect: Media
543,CORELENS,CORELENS SPÓŁKA AKCYJNA,COR (CORELENS),NewConnect: Ochrona zdrowia
544,CRJ,CREEPY JAR SPÓŁKA AKCYJNA,CRJ (CREEPYJAR),NewConnect: Informatyka
545,CEREAL-PLANET,CEREAL PLANET PLC,CRP (CEREALPLT),NewConnect: Usługi inne
546,COPERNICUS-SECURITIES,COPERNICUS SECURITIES SPÓŁKA AKCYJNA,CRS (COPERNIC),NewConnect: Inwestycje
547,CASPAR-ASSET-MANAGEMENT,CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA,CSR (CASPAR),NewConnect: Inwestycje
548,CSY,CSY SPÓŁKA AKCYJNA,CSY,NewConnect: Technologie
549,CTE,CENOSPHERES TRADE &amp;amp; ENGINEERING SPÓŁKA AKCYJNA,CTE,NewConnect: Recykling
550,CENTURION-FINANCE,CENTURION FINANCE SPÓŁKA AKCYJNA,CTF (CENTURION),NewConnect: Usługi finansowe
551,CWA,CWA SPÓŁKA AKCYJNA,CWA,NewConnect: Usługi inne
552,CWP,CENTRUM WSPIERANIA PROJEKTÓW EUROPEJSKICH SPÓŁKA AKCYJNA,CWP (CWPE),NewConnect: Usługi inne
553,CZK,CIASTECZKA Z KRAKOWA SPÓŁKA AKCYJNA,CZK (CIASTZKRA),NewConnect: Handel
554,DENT-A-MEDICAL,DENT-A-MEDICAL SPÓŁKA AKCYJNA,DAM (DENTAMDC),NewConnect: Ochrona zdrowia
555,DCD,DOLNOŚLĄSKIE CENTRUM DEVELOPERSKIE SPÓŁKA AKCYJNA,DCD,NewConnect: Usługi inne
556,DEVORAN,DEVORAN SPÓŁKA AKCYJNA,DEV (DEVORAN),NewConnect: Handel
557,DIGITAL-AVENUE,DIGITAL AVENUE SPÓŁKA AKCYJNA,DGL (DIGITAL),NewConnect: Media
558,DIN,DAMF INWESTYCJE SPÓŁKA AKCYJNA,DIN (DAMFINW),NewConnect: Wypoczynek
559,DEKTRA,DEKTRA SPÓŁKA AKCYJNA,DKR (DEKTRA),NewConnect: Handel
560,DOM-LEKARSKI,DOM LEKARSKI SPÓŁKA AKCYJNA,DLK (DOMLEK),NewConnect: Ochrona zdrowia
561,DANKS,DANKS EUROPEJSKIE CENTRUM DORADZTWA PODATKOWEGO SPÓŁKA AKCYJNA,DNS (DANKS),NewConnect: Usługi finansowe
562,DOK,DOOK SPÓŁKA AKCYJNA,DOK (DOOK),NewConnect: Informatyka
563,DRF,DR.FINANCE SPÓŁKA AKCYJNA,DRF (DRFINANCE),NewConnect: Usługi finansowe
564,EBC-SOLICITORS,EBC SOLICITORS SPÓŁKA AKCYJNA,EBC,NewConnect: Usługi finansowe
565,EKOBOX,EKOBOX SPÓŁKA AKCYJNA,EBX (EKOBOX),NewConnect: Budownictwo
566,EC2,EC2 SPÓŁKA AKCYJNA,EC2,NewConnect: Informatyka
567,ECA,UHY ECA SPÓŁKA AKCYJNA,ECA (UHYECA),NewConnect: Usługi finansowe
568,ECC,ECC GAMES SPÓŁKA AKCYJNA,ECC (ECCGAMES),NewConnect: Informatyka
569,EUROSNACK,EUROSNACK SPÓŁKA AKCYJNA,ECK (EUROSNACK),NewConnect: Handel
570,EASYCALL-PL,EASYCALL.PL SPÓŁKA AKCYJNA,ECL (EASYCALL),NewConnect: Telekomunikacja
571,ELECTROCERAMICS,ELECTROCERAMICS SPÓŁKA AKCYJNA,ECR (ECERAMICS),NewConnect: Technologie
572,EDISON-SPOLKA,EDISON SPÓŁKA AKCYJNA,EDN (EDISON),NewConnect: Informatyka
573,EUROPEJSKI-FUNDUSZ-ENERGII,EUROPEJSKI FUNDUSZ ENERGII SPÓŁKA AKCYJNA,EFE (EFENERGII),NewConnect: Informatyka
574,EFIX,EFIX DOM MAKLERSKI SPÓŁKA AKCYJNA,EFX (EFIXDM),NewConnect: Inwestycje
575,EKOPOL,EKOPOL GÓRNOŚLĄSKI HOLDING SPÓŁKA AKCYJNA,EGH (EKOPOL),NewConnect: Technologie
576,E-KIOSK,E-KIOSK SPÓŁKA AKCYJNA,EKS (EKIOSK),NewConnect: e-handel
577,ELEKTROMONT,ELEKTROMONT SPÓŁKA AKCYJNA,ELM (EMONT),NewConnect: Usługi inne
578,ELQ,ELQ SPÓŁKA AKCYJNA,ELQ,NewConnect: Usługi inne
579,EMMERSON,EMMERSON REALTY SPÓŁKA AKCYJNA,EMM (EMMERSON),NewConnect: Nieruchomości
580,E-MUZYKA,E-MUZYKA SPÓŁKA AKCYJNA,EMU (EMUZYKA),NewConnect: Media
581,EO-NETWORKS,EO NETWORKS SPÓŁKA AKCYJNA,EON (EONET),NewConnect: Informatyka
582,EPR,PRZEDSIĘBIORSTWO ROBÓT INSTALACYJNYCH EKOPARK SPÓŁKA AKCYJNA,EPR (EKOPARK),NewConnect: Budownictwo
583,ERNE,ERNE VENTURES SPÓŁKA AKCYJNA,ERN (ERNE),NewConnect: Inwestycje
584,EUROSYSTEM,EUROSYSTEM SPÓŁKA AKCYJNA,ERS,NewConnect: Telekomunikacja
585,EASTSIDECAPITAL,EASTSIDECAPITAL SPÓŁKA AKCYJNA,ESC (EASTSIDE),NewConnect: Inwestycje
586,ESKIMOS,ESKIMOS SPÓŁKA AKCYJNA,ESK (ESKIMOS),NewConnect: Handel
587,EURO-TAX-PL,EURO-TAX.PL SPÓŁKA AKCYJNA,ETX (EUROTAX),NewConnect: Usługi finansowe
588,EXAMOBILE,EXAMOBILE SPÓŁKA AKCYJNA,EXA (EXAMOBILE),NewConnect: Informatyka
589,EXCELLENCE,EXCELLENCE SPÓŁKA AKCYJNA,EXC (EXCELLENC),NewConnect: Handel
590,THE-FARM-51-GROUP,THE FARM 51 GROUP SPÓŁKA AKCYJNA,F51 (FARM51),NewConnect: Informatyka
591,FACHOWCY-PL-VENTURES,FACHOWCY.PL VENTURES SPÓŁKA AKCYJNA,FAV (FACHOWCY),NewConnect: Media
592,FDG,FAT DOG GAMES SPÓŁKA AKCYJNA,FDG (FDGAMES),NewConnect: Informatyka
593,FUNDUSZ-HIPOTECZNY-DOM,FUNDUSZ HIPOTECZNY DOM SPÓŁKA AKCYJNA,FHD (FHDOM),NewConnect: Usługi finansowe
594,FABRYKA-KONSTRUKCJI-DREWNIANYCH,FABRYKA KONSTRUKCJI DREWNIANYCH SPÓŁKA AKCYJNA,FKD (FABRYKAKD),NewConnect: Budownictwo
595,FLUID,FLUID SPÓŁKA AKCYJNA,FLD (FLUID),NewConnect: Eco-energia
596,FOREVER-ENTERTAINMENT,FOREVER ENTERTAINMENT SPÓŁKA AKCYJNA,FOR (FOREVEREN),NewConnect: Informatyka
597,FORPOSTA,FORPOSTA SPÓŁKA AKCYJNA,FPO (FORPOSTA),NewConnect: Usługi inne
598,FTH,FINTECH SPÓŁKA AKCYJNA,FTH (FINTECH),NewConnect: Usługi finansowe
599,FTI,FTI PROFIT SPÓŁKA AKCYJNA,FTI (FTIPROFIT),NewConnect: Usługi finansowe
600,FITEN,FITEN SPÓŁKA AKCYJNA,FTN (FITEN),NewConnect: Handel
601,GALVO,GALVO SPÓŁKA AKCYJNA,GAL (GALVO),NewConnect: Technologie
602,GRUPAEMM,GRUPA EMMERSON SPÓŁKA AKCYJNA,GEM (GRUPAEMM),NewConnect: Nieruchomości
603,GENOMED,GENOMED SPÓŁKA AKCYJNA,GEN (GENOMED),NewConnect: Ochrona zdrowia
604,GKS-GIEKSA-KATOWICE,GKS GIEKSA KATOWICE SPÓŁKA AKCYJNA,GKS (GKSKAT),NewConnect: Wypoczynek
605,GLG-PHARMA,GLG PHARMA SPÓŁKA AKCYJNA,GLG (GLGPHARMA),NewConnect: Ochrona zdrowia
606,GME,GREMI MEDIA SPÓŁKA AKCYJNA,GME (GRMEDIA),NewConnect: Media
607,G-ENERGY,G-ENERGY SPÓŁKA AKCYJNA,GNG (GENRG),NewConnect: Eco-energia
608,GOLAB,GOLAB SPÓŁKA AKCYJNA,GOL (GOLAB),NewConnect: Handel
609,GOV,GOVENA LIGHTING SPÓŁKA AKCYJNA,GOV (GOVENA),NewConnect: Technologie
610,GPPI,GPPI SPÓŁKA AKCYJNA,GPP (GPPI),NewConnect: Usługi finansowe
611,GRUPA-RECYKL,GRUPA RECYKL SPÓŁKA AKCYJNA,GRC (GRUPAREC),NewConnect: Recykling
612,GRE,MVA GREEN ENERGY SPÓŁKA AKCYJNA,GRE (GREENENER),NewConnect: Eco-energia
613,GREMPCO,GREMPCO SPÓŁKA AKCYJNA,GRM (GREMPCO),NewConnect: Inwestycje
614,GO-TFI,GO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,GTF (GOTFI),NewConnect: Inwestycje
615,GEOTREKK,GEOTREKK SPÓŁKA AKCYJNA,GTK (GEOTREKK),NewConnect: Media
616,GEO-TERM,GEO-TERM POLSKA SPÓŁKA AKCYJNA,GTP (GEOTERM),NewConnect: Eco-energia
617,GTS,GEOTRANS SPÓŁKA AKCYJNA,GTS (GEOTRANS),NewConnect: Recykling
